"year","rep","scenario","GEI","stage","mean_gv_tpe","mean_gv_met","var_gv_tpe","var_gv_met","acc_tpe","acc_met","met_tpe"
3,1,"Pheno","Moderate","PYT",0.531499105247238,0.282479779881968,0.411520530037875,0.226435742660866,0.35789137033827,0.143252255583383,0.628546074253097
4,1,"Pheno","Moderate","PYT",0.247855794907261,0.0779085678030871,0.53788879974539,0.159053765181103,0.294947262919798,0.263241029750743,0.906753119593352
5,1,"Pheno","Moderate","PYT",0.282448237357456,0.159032796666365,0.494248917410863,0.118726356204091,0.264586551291323,0.267628806141255,0.885738166882499
6,1,"Pheno","Moderate","PYT",0.414360781669391,0.424795980194822,0.487938513456327,1.21902608542356,0.588251643563796,0.493800392206744,0.814939182044358
7,1,"Pheno","Moderate","PYT",0.61118723212651,0.624831122036392,0.366029510556332,0.513670922614753,0.465791945978668,0.3792714926328,0.854553788246002
8,1,"Pheno","Moderate","PYT",0.523362901759963,0.704751779036509,0.361324058741866,1.3183413562574,0.64820768432078,0.432446229589626,0.684825295415321
9,1,"Pheno","Moderate","PYT",0.59136740623426,0.215045498699656,0.394682557418094,0.48462979603356,0.491333677252311,0.338528116342209,0.704865223748541
10,1,"Pheno","Moderate","PYT",0.481788576028686,0.46639377129262,0.59419379045181,0.444214048080708,0.424359662036414,0.346985090783956,0.81491210631504
11,1,"Pheno","Moderate","PYT",0.436944990571063,0.854533001640115,0.614835858514697,2.36449094573306,0.706263275981698,0.588121412866563,0.834290592457705
12,1,"Pheno","Moderate","PYT",0.750680100299207,0.906980272777838,0.400807626497334,0.788260615475638,0.560733875121947,0.506030759674042,0.83640812572742
13,1,"Pheno","Moderate","PYT",0.500206252004922,0.660480779440656,0.398877366875734,1.36590053050754,0.645839507914594,0.543005309717554,0.820924921346358
14,1,"Pheno","Moderate","PYT",0.871983891191115,0.428289703540985,0.344852129007491,0.90274693358866,0.515584941910355,0.221742650164162,0.489278065024908
15,1,"Pheno","Moderate","PYT",0.828530640642947,0.455230641088068,0.373413006500563,0.445343785330057,0.352554354270141,0.243318061695893,0.720358401460153
16,1,"Pheno","Moderate","PYT",1.0399865613519,1.3767244088832,0.363987062894085,1.51673678851627,0.624422883183124,0.336684663351405,0.54536419617819
17,1,"Pheno","Moderate","PYT",1.21865290306567,1.01618053005335,0.436246607956902,0.637475091939022,0.526936200239555,0.425605843007292,0.795532883912659
18,1,"Pheno","Moderate","PYT",0.92252549008021,0.549252042253998,0.523517206198704,0.699343491817326,0.538664794915946,0.442134423041127,0.865068663471698
19,1,"Pheno","Moderate","PYT",0.992587082803013,0.882782987473074,0.645467920978149,0.870056716535186,0.518978887811483,0.362475174551848,0.710101383052337
20,1,"Pheno","Moderate","PYT",0.879361564249223,1.51218869108904,0.411228112065735,1.0379481838781,0.555785739499347,0.418101371262871,0.787883085548416
